variable,pct_compartments_positive,stability_score
CanopyCover,100.0,100.0
slope_degrees,96.96969696969697,93.93939393939394
windward_topex,91.77489177489177,83.54978354978354
chelsa_bio12_precip_mm,12.554112554112553,74.8917748917749
northness,14.285714285714285,71.42857142857143
tpi_500m,14.71861471861472,70.56277056277057
tas_mean,21.645021645021643,56.709956709956714
dist_to_road,25.108225108225106,49.78354978354979
time_since_thinning,72.2943722943723,44.58874458874459
topex,71.86147186147186,43.72294372294371
cpmt_compactness_ratio,63.20346320346321,26.406926406926416
recent_thinning_5yr,38.52813852813853,22.943722943722946
ceh_textural_composition=2.0,39.82683982683983,20.34632034632034
ceh_pedotope=2.0,58.44155844155844,16.883116883116884
ceh_pedotope=8.0,58.00865800865801,16.01731601731602
dist_to_forest_perimeter,42.857142857142854,14.285714285714292
gwa_wind_speed_50m,43.722943722943725,12.55411255411255
time_since_thinning_missing,48.484848484848484,3.030303030303031
soilgrids_ph,51.082251082251084,2.164502164502167
ceh_subsurface_drainage=2.0,49.78354978354979,0.4329004329004249
