variable,provenance,avenue_1_status,avenue_2_static_status,avenue_2_temporal_status,notes
CanopyCover,"external (raw survey field, mean canopy cover fraction across every survey year)",used in AV1 candidate universe,used in AV2 management extension,not part of AV2 temporal extension,
Thin,"external (raw survey field, fraction of surveys where this plot had been thinned)",used in AV1 candidate universe,used in AV2 management extension,not part of AV2 temporal extension,
ceh_pedotope,"external (CEH natural capital dataset, natural_capital_pedotopes.tif, one of 9 layers in the same downloaded zip -- 50m resolution, 7 classes over Aberfoyle) -- a categorical class ID, not an ordinal scale.",used in AV1 candidate universe,used in AV2 broad-environment extension (soil/site),not part of AV2 temporal extension,categorical; one-hot encoded in AV2 broad-environment checks
ceh_subsurface_drainage,"external (CEH subsurface drainage raster, 50m resolution, from the same CEH zip/product as ceh_pedotope) -- a categorical class ID.",used in AV1 candidate universe,used in AV2 broad-environment extension (soil/site),not part of AV2 temporal extension,categorical; one-hot encoded in AV2 broad-environment checks
ceh_textural_composition,"external (CEH soil textural composition raster, 50m resolution, from the same CEH zip/product as ceh_pedotope) -- a categorical class ID.",used in AV1 candidate universe,used in AV2 broad-environment extension (soil/site),not part of AV2 temporal extension,categorical; one-hot encoded in AV2 broad-environment checks
ceh_twi,"external (CEH Topographic Wetness Index, twi.tif, 50m resolution, from the same CEH zip/product as ceh_pedotope).",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,
chelsa_bio12_precip_mm,"external (CHELSA v2.1, same access/resolution/period as chelsa_bio1_celsius: 1km, 1981-2010 climatology) -- bio12 = annual precipitation.",used in AV1 candidate universe,used in AV2 broad-environment extension (climate),not part of AV2 temporal extension,
chelsa_bio1_celsius,"external (CHELSA v2.1, direct public download, no auth). 1km nominal resolution (same grid as HadUK-Grid), but terrain-conditioned downscaling, not a plain interpolation. 1981-2010 climatology (static, not tied to any survey year) -- bio1 = mean annual air temperature.",used in AV1 candidate universe,used in AV2 broad-environment extension (climate),not part of AV2 temporal extension,
chelsa_gdd5_degc,"external (CHELSA v2.1 BIOCLIM+ extension, same access/resolution/period as chelsa_bio1_celsius: 1km, 1981-2010 climatology) -- growing degree days above 5C.",used in AV1 candidate universe,used in AV2 broad-environment extension (climate),not part of AV2 temporal extension,
cpmt_compactness_ratio,"own calculation: compartment polygon perimeter / area -- a per-compartment shape property, not a per-plot distance (every plot in the same compartment shares one value). NOT a leak (2026-07-31 clarification, to distinguish this from the real neighbour_mean_height leak above) -- but a real interpretive caveat: spatial_block_split() holds out whole compartments, so a held-out compartment's own value here may never have appeared in training at all. That makes generalisation for this specific variable a stricter test than for a smoothly-varying continuous one, not a data problem to fix -- the split is doing exactly what it's supposed to. Read this variable's importance/effect numbers with that in mind, don't average it against continuous variables as if the test were equally hard for both.",used in AV1 candidate universe,used in AV2 broad-environment extension (edge-position),not part of AV2 temporal extension,derived variable
dist_to_block_boundary,"own calculation: geometric distance from the plot point to its own block polygon's boundary (GPKG block geometry, one boundary per blk)",used in AV1 candidate universe,used in AV2 broad-environment extension (edge-position),not part of AV2 temporal extension,derived variable
dist_to_cpmt_boundary,"own calculation: geometric distance from the plot point to its own compartment polygon's boundary (GPKG compartment geometry, one boundary per cpmt)",used in AV1 candidate universe,used in AV2 broad-environment extension (edge-position),not part of AV2 temporal extension,derived variable
dist_to_forest_perimeter,"own calculation: distance to the forest's real exterior/interior boundary -- compartment polygons unioned then buffered +60m/-60m (morphological closing, merges slivers and narrow gaps between adjacent compartments), closed regions under 1ha dropped as closing artefacts, boundary includes both exterior and interior (internal clearing) rings",used in AV1 candidate universe,used in AV2 broad-environment extension (edge-position),not part of AV2 temporal extension,derived variable
dist_to_road,"own calculation: distance from the plot point to the nearest OS Open Roads line, same distance-to-nearest-line method as dist_to_watercourse -- includes unclassified tracks, not just A/B roads",used in AV1 candidate universe,used in AV2 broad-environment extension (edge-position),not part of AV2 temporal extension,derived variable
dist_to_scpt_boundary,"own calculation: geometric distance from the plot point to its own sub-compartment polygon's boundary (GPKG sub-compartment geometry, one boundary per (cpmt, scpt) pair)",used in AV1 candidate universe,used in AV2 broad-environment extension (edge-position),not part of AV2 temporal extension,derived variable
dist_to_watercourse,"own calculation: distance from the plot point to the nearest OS Open Rivers watercourse line (real vector survey data, not a flow-accumulation derivation), watercourses read within a 5km-buffered bounding box around the study area",used in AV1 candidate universe,used in AV2 broad-environment extension (soil/site),not part of AV2 temporal extension,derived variable
eastness,own calculation: sin(aspect_degrees in radians),used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
elevation,"external (OS Terrain 50 DTM, read directly)",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,
elevation_roughness,"own calculation: std of elevation within a 100m-diameter window, via the moving-window variance identity Var = E[X^2] - E[X]^2 (scipy.ndimage.uniform_filter, much faster than a literal per-cell std loop)",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
frost_hollow_flag,"own calculation: binary flag = (tpi below its own 15th percentile) AND (plan_curvature < 0, i.e. concave) -- a documented heuristic threshold, not calibrated against any real frost/damage record",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
groundfrost_mean,"external (HadUK-Grid, CEDA, days of ground frost per month, 1km, added 2026-07-30). Same multi-year, cohort-averaged extraction as tas_mean above. Checked as a potential complement/validation for the existing frost_hollow_flag terrain heuristic -- real signal (rho=0.172 vs 4survey CR residual), fairly distinct from the other climate variables already in the model.",used in AV1 candidate universe,used in AV2 broad-environment extension (climate),not part of AV2 temporal extension,cohort-specific multi-year summary in environmental export
gwa_prob_above_critical_10m,"own calculation, DERIVED from gwa_weibull_a_10m and gwa_weibull_k_10m (exp[-(20 m/s / A)^k], data_processing/add_environmental_candidates.py) -- modelled probability of exceeding a 20 m/s screening threshold, not a validated tree-failure threshold. Same derived-not-independent caveat as gwa_wind_p95_10m.",used in AV1 candidate universe,excluded from AV2 final set: derived / redundant alternative wind representation,not part of AV2 temporal extension,derived variable; deterministic transform of GWA Weibull parameters
gwa_prob_above_critical_50m,"own calculation, DERIVED from gwa_weibull_a_50m and gwa_weibull_k_50m -- same derivation and same not-independent caveat as gwa_prob_above_critical_10m.",used in AV1 candidate universe,excluded from AV2 final set: redundant alternative wind representation,not part of AV2 temporal extension,derived variable; deterministic transform of GWA Weibull parameters
gwa_weibull_a_10m,"external (Global Wind Atlas GBR national Weibull-A raster, 10m height, cropped to a 5km buffer around Aberfoyle by data_processing/add_environmental_candidates.py, 2026-08-04). A DIFFERENT source/product to the existing gwa_wind_speed_10m above (that one is the GWA REST API's mean-wind endpoint; this is the raw national Weibull-scale raster) -- both describe 10m wind but are not guaranteed to agree exactly, worth checking their correlation before treating both as independent evidence. CAVEAT (2026-08-04, flagged by a parallel session's council review of the same 10m/50m GWA family for a different target): 10m wind is a SUB-CANOPY measurement -- using it to explain a MATURE canopy's wind response is conceptually backwards for this stand. Prefer the 50m columns below (or topex/windward_topex/whcl) as the primary wind-exposure variables; keep the 10m columns as a comparison, not the headline evidence, until checked.",used in AV1 candidate universe,excluded from AV2 final set: redundant alternative wind representation,not part of AV2 temporal extension,
gwa_weibull_a_50m,"external, same source/script as gwa_weibull_a_10m -- Weibull scale parameter at 50m.",used in AV1 candidate universe,excluded from AV2 final set: redundant alternative wind representation,not part of AV2 temporal extension,
gwa_weibull_k_10m,"external, same source/script as gwa_weibull_a_10m -- the Weibull shape parameter at 10m.",used in AV1 candidate universe,excluded from AV2 final set: redundant alternative wind representation,not part of AV2 temporal extension,
gwa_weibull_k_50m,"external, same source/script as gwa_weibull_a_10m -- Weibull shape parameter at 50m.",used in AV1 candidate universe,excluded from AV2 final set: redundant alternative wind representation,not part of AV2 temporal extension,
gwa_wind_p95_10m,"own calculation, DERIVED from gwa_weibull_a_10m and gwa_weibull_k_10m (A * [-ln(1-0.95)]^(1/k), data_processing/add_environmental_candidates.py) -- not a third independent measurement. Per this notebook's own redundancy rule (grouped_category_importance.ipynb cell 45/48), do not read this alongside both Weibull parameters as if all three carry separate information.",used in AV1 candidate universe,excluded from AV2 final set: derived / redundant alternative wind representation,not part of AV2 temporal extension,derived variable; deterministic transform of GWA Weibull parameters
gwa_wind_p95_50m,"own calculation, DERIVED from gwa_weibull_a_50m and gwa_weibull_k_50m -- same derivation and same not-independent caveat as gwa_wind_p95_10m.",used in AV1 candidate universe,excluded from AV2 final set: redundant alternative wind representation,not part of AV2 temporal extension,derived variable; deterministic transform of GWA Weibull parameters
gwa_wind_speed_10m,"external (Global Wind Atlas public REST API, GBR/wind-speed/10 -- 10m height, no auth). Nominal 250m grid, but that's a longitude/latitude spacing, not a real ground distance at this latitude -- confirmed real resolution over Aberfoyle is ~140-155m (E-W) x 250m (N-S), anisotropic. Modelled climatology (long-term average, not tied to any survey year), same nearest-cell extraction as every other raster here. See notebooks/environmental_data/environmental_data_sources_survey_SUPERSEDED_2026-07-30.ipynb's resolution check.",used in AV1 candidate universe,excluded from AV2 final set after representation swap to 50m wind,not part of AV2 temporal extension,
gwa_wind_speed_50m,"external (Global Wind Atlas GBR national mean-wind raster, 50m height, same crop/script as gwa_weibull_a_10m). A different height level to gwa_wind_speed_10m, not a duplicate, but plausibly highly correlated with it -- check before treating both as independent.",used in AV1 candidate universe,used in AV2 final terrain/wind set,used in AV2 temporal extension as plot-level exposure partner,
haduk_consecutive_dry_days,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,planned for later AV2 temporal drought/rain extension,
haduk_cumulative_rain_deficit,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,planned for later AV2 temporal drought/rain extension,
haduk_dry_spell_count,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,planned for later AV2 temporal drought/rain extension,
haduk_spei12,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,planned for later AV2 temporal drought/rain extension,
haduk_spei3,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,planned for later AV2 temporal drought/rain extension,
haduk_spei6,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,planned for later AV2 temporal drought/rain extension,
inverse_slope_proxy,"own calculation, derived directly from slope_degrees (= -slope_degrees, a heuristic, not new information) -- an EXACT linear duplicate, not just correlated. For XGBoost this is mostly a SHAP-attribution question (which of the two gets credited). For Elastic Net it's more consequential: with two perfectly collinear columns, the regularisation path can split the same underlying signal's coefficient between them in a way that depends on solver internals, not on anything about the data -- treat inverse_slope_proxy's and slope_degrees's individual Elastic Net coefficients as not separately meaningful, only their sum is (2026-07-30 clarification).",used in AV1 candidate universe,used in AV2 representation checks only,not part of AV2 temporal extension,derived variable
local_relief_500m,"own calculation (data_processing/add_environmental_candidates.py, 2026-08-04): maximum minus minimum elevation within the same 21x21-cell square window used for tpi_500m -- a local ruggedness measure, not a directional slope/aspect one.",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
midas_cumulative_gust_excess_per_year,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,used in AV2 temporal extension as cohort-level weather summary,interval weather; constant within cohort unless interacted with exposure
midas_gust_p95_ms,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,used in AV2 temporal extension as cohort-level weather summary,interval weather; constant within cohort unless interacted with exposure
midas_hours_above_critical_per_year,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,used in AV2 temporal extension as cohort-level weather summary,interval weather; constant within cohort unless interacted with exposure
midas_independent_storm_count_per_year,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,used in AV2 temporal extension as cohort-level weather summary,interval weather; constant within cohort unless interacted with exposure
midas_max_gust_ms,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,used in AV2 temporal extension as cohort-level weather summary,interval weather; constant within cohort unless interacted with exposure
midas_mean_wind_p95_ms,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,used in AV2 temporal extension as cohort-level weather summary,interval weather; constant within cohort unless interacted with exposure
midas_time_since_last_major_storm_days,planned temporal variable; not yet in feature export,not part of AV1 export/model feature universe,not used in AV2 static analyses,used in AV2 temporal extension as cohort-level weather summary,interval weather; constant within cohort unless interacted with exposure
northness,own calculation: cos(aspect_degrees in radians),used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
plan_curvature,"own calculation (second derivative of the DTM, Zevenbergen & Thorne 1987) -- same validation as profile_curvature",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
profile_curvature,"own calculation (second derivative of the DTM, Zevenbergen & Thorne 1987) -- sign convention validated against a synthetic bowl/dome before use on real data",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
recent_thinning_5yr,"external (raw survey field, fraction of surveys with a thinning in the preceding 5 years)",used in AV1 candidate universe,used in AV2 management extension,not part of AV2 temporal extension,
slope_degrees,"own calculation: elevation gradient on the 50m DTM grid (np.gradient, east/north components), slope = arctan(sqrt(dz_dx^2 + dz_dy^2)), converted to degrees",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
soilgrids_ph,"external (SoilGrids v2.0, ISRIC, public Cloud-Optimised GeoTIFF via rasterio's /vsicurl/, no auth). 250m resolution. Topsoil pH specifically -- SoilGrids' pH product is depth-stratified (0-5/5-15/15-30/30-60/60-100/100-200cm); this uses the shallowest layer, phh2o_0-5cm_mean. See notebooks/environmental_data/aux_data_resolution_check.ipynb.",used in AV1 candidate universe,used in AV2 broad-environment extension (soil/site),not part of AV2 temporal extension,
solar_radiation_index,"own calculation: cos(slope)*cos(zenith) + sin(slope)*sin(zenith)*cos(aspect - solar azimuth), evaluated at solar noon on the summer solstice (declination 23.44 deg, site latitude 56.15 deg) -- no horizon shading by surrounding terrain, a known simplification",used in AV1 candidate universe,used in AV2 final terrain/wind set,not part of AV2 temporal extension,derived variable
