dataset,category,access_method,n_plots_sampled,n_distinct_values,std,value_min,value_max,cv,variogram_range_m,variogram_status,morans_i,morans_i_p,between_compartment_icc,spearman_vs_cr_residual_4survey,spearman_p_4survey,spearman_vs_cr_residual_6survey,spearman_p_6survey,years_covered,notes,trust_score
CHELSA annual precipitation (bio12),climate,"Direct download, no auth (confirmed live, same access as bio1)",71766,269,239.27012296446847,1729.8000000000002,3004.8,0.10205010858024004,5000.0,exceeds_window,0.9908493506136312,0.005,0.9734192501083376,-0.36388889225417814,0.0,-0.19510532603435654,2.760395711091801e-119,"Static (1981-2010 climatology) -- time-invariant, applies to all 6 survey years equally",Directly relevant given Sitka spruce's documented >=900-1000mm annual rainfall requirement (Dissertation Plan section 2.1).,0.5393032624620818
ERA5-Land (2m temperature),climate,"Google Earth Engine, real project ID (confirmed live -- bypasses the CDS key wall)",71766,8,0.26551792144434255,272.6192004296087,273.4598527313561,0.0009728237524513403,5000.0,exceeds_window,0.9688000688094273,0.005,0.9031282622865445,0.10389275436728845,2.1896587912156395e-171,-0.08931505261148517,5.128970318422038e-26,"Available back to 1950, but at ~11km resolution -- see notes","REAL EXTRACTION (updates the earlier 'blocked' placeholder). Confirmed native resolution ~11.1km, coarser than the plan's assumed ~9km -- check the distinct-value count above against the earlier ~3-4-cells estimate.",0.4639051081997094
CHELSA growing degree days above 5C (gdd5),climate,"Direct download, no auth (confirmed live, same access as bio1)",71766,206,146.60674798165317,906.5,1580.8000000000002,0.10852755409058454,5000.0,exceeds_window,0.9682488247638081,0.005,0.931240251580353,0.3102597655568611,0.0,0.057268399684521513,1.418010111199302e-11,"Static (1981-2010 climatology) -- time-invariant, applies to all 6 survey years equally","Maps directly onto the Dissertation Plan's own designated 'Annual GDD' temporal climate index, originally expected to come from HadUK-Grid/CHESS-met.",0.5540659119468765
CHELSA bio1 (mean annual temp),climate,"Direct download, no auth (confirmed live)",71766,28,0.5803728261617863,6.350000000000023,9.150000000000034,0.07037018286273057,5000.0,exceeds_window,0.9678293334259913,0.005,0.928659434618758,0.30897419168324985,0.0,0.0360627589291614,2.1160656927504078e-05,"Static (1981-2010 climatology) -- time-invariant, applies to all 6 survey years equally","Same nominal 1km grid as HadUK-Grid, but terrain-conditioned downscaling -- compare its distinct-value count and Moran's I/ICC directly against HadUK-Grid's blocked status once that access is obtained, to see if the terrain-conditioning claim holds up.",0.5549691978834347
"HadUK-Grid (tas, 1km)",climate,"Manual browser download by an authenticated CEDA account holder (the scripted download above is still genuinely blocked -- this is a real account, not a workaround)",71766,149,0.6019496036062592,5.83299631111293,9.215407135689519,0.07293399882223592,5000.0,exceeds_window,0.9409174293506314,0.005,0.8933753500140682,0.27798478463618964,0.0,0.06520505469044306,1.4234867782731365e-14,"2021 only in the file downloaded so far -- one file per year/variable on CEDA, so 2002/2006/2008/2012/2023 would each need their own manual download to cover every survey year","REAL EXTRACTION (updates the earlier 'blocked' placeholder). Compare its distinct-value count and Moran's I/ICC directly against CHELSA's bio1 row above (same nominal 1km grid, same kind of variable) -- this is the actual apples-to-apples check the plan's assumption needed.",0.5123186274950761
SoilGrids topsoil pH 0-5cm,soil,"Public COG via /vsicurl/, no auth (confirmed live, windowed remote read)",71353,13,0.1484102423526353,4.0,5.2,0.03335976995731808,5000.0,exceeds_window,0.8808674828130546,0.005,0.773795633709091,0.2707519618081209,0.0,0.11706552164569756,1.331512289362705e-43,"Static (ML-interpolated from historical profile data, ~2020 baseline) -- time-invariant, applies to all 6 survey years equally","ML-interpolated from real soil profiles + covariates, not a flat polygon conversion -- check whether it shows MORE local variation than CEH/James Hutton above despite similar or finer nominal resolution (see Moran's I / ICC / variogram columns).",0.6341715282018181
CEH soil textural composition class,soil,"Direct EIDC download, no auth (same zip already cached)",71727,4,0.35379565809158786,1.0,5.0,0.08668118702367392,3201.2534950249337,resolved,0.8777234074158483,0.005,0.6502988425020846,-0.2045572177753462,0.0,,,"Static (2020 snapshot) -- time-invariant, applies to all 6 survey years equally","Categorical (4 classes) -- genuinely new soil information (clay/sand/silt composition), not covered by SoilGrids pH or the pedotope class.",0.6623954051242704
CEH subsurface drainage class,soil,"Direct EIDC download, no auth (same zip already cached)",71727,3,0.8029728718224921,1.0,3.0,0.5569361075433129,2306.289146000025,resolved,0.8498280714810201,0.005,0.7127583044670122,-0.14434318094981058,0.0,0.05870673166105309,4.3282769940025295e-12,"Static (2020 snapshot) -- time-invariant, applies to all 6 survey years equally","Categorical (3 classes) -- genuinely new soil information not covered by SoilGrids pH or the pedotope class. Waterlogging/drainage risk, directly relevant to the plan's own cited Sitka growth limiters.",0.6405345934365457
CEH 50m soil (natural capital pedotopes),soil,"Direct EIDC download, no auth (confirmed: real ~1GB zip, no login)",71727,7,0.7578558014765465,2.0,12.0,0.07190532989134077,3498.7090072454307,resolved,0.6892528396651713,0.005,0.5112140038566431,-0.1447391242953512,0.0,-0.00036273210884637077,0.9658952219514185,"Static (2020 snapshot) -- treated as time-invariant, applies to all 6 survey years equally","7 distinct classes over 71,766 plots -- a real categorical map, not a single flat value, but see the ICC/Moran's I columns for whether that variation is USEFUL (likely still coarse relative to plot spacing -- check numbers, don't assume).",0.7110750986501749
"James Hutton 1:250,000 soil map (WRB)",soil,"Public WMS GetFeatureInfo, no auth (confirmed live; point-sampled, n=150, not exhaustive)",150,6,,,,,,not_computed (categorical point-sample only),,,,,,,,"Static (soil survey snapshot) -- time-invariant, applies to all 6 survey years equally","SURPRISING: 6 distinct WRB soil groups found in just a 150-point sample -- contradicts the plan's '~3-5 polygons total' assumption. Still coarse (1:250,000), but not the near-flat covariate the plan assumed. Full quantitative screen (variogram/Moran's I/ICC) not possible via this point-query WMS -- would need a bulk raster/WCS export to do properly.",
